,team,opponent,goals,total_score,total_count,rank_difference,home
1527,Belarus,Ukraine,1,6.5,2,50.50000000000002,0
21886,North Macedonia,Liechtenstein,3,263.4166666666667,4,-61.83333333333333,0
6601,Zimbabwe,Rwanda,0,483.66666666666674,3,-74.33333333333333,0
17471,Bonaire,Suriname,0,0.0,1,-129.08333333333334,0
8247,Algeria,Chad,4,501.09090909090907,8,-100.27272727272728,1
18151,Spain,Uruguay,3,1546.083333333333,10,-11.5,1
5876,Cayman Islands,Cuba,0,183.33333333333331,3,78.91666666666667,1
17113,Iraq,Singapore,7,441.33333333333326,9,-76.83333333333333,1
17901,Malaysia,Bangladesh,1,142.08333333333334,4,-5.583333333333344,1
24799,Ukraine,Switzerland,2,1534.375,6,10.0,1
9519,Romania,Georgia,3,651.4166666666666,5,-73.0,1
6464,Sierra Leone,Togo,0,281.0833333333333,1,40.58333333333334,0
24843,Iceland,Belgium,1,1456.75,6,40.0,0
24163,Algeria,Senegal,1,1425.625,4,28.0,0
1644,Lithuania,Latvia,1,22.9,5,-5.0,1
6906,Finland,England,1,552.0833333333334,9,41.66666666666666,0
12783,Austria,Chile,0,414.83333333333326,7,36.083333333333336,1
18502,Seychelles,Mauritius,0,25.58333333333333,2,11.916666666666687,0
16575,Bolivia,Peru,2,340.0833333333333,1,52.24999999999999,0
3670,New Caledonia,Fiji,1,0.0,0,-149.1,0
19797,Hong Kong,Guam,0,128.5,3,-11.166666666666655,0
11645,Portugal,France,0,1034.6363636363637,7,3.727272727272728,1
20406,Philippines,Maldives,2,222.33333333333331,11,-25.166666666666693,1
24223,Republic of Ireland,Switzerland,1,1485.5,4,21.875,1
16825,Belgium,Romania,2,635.1666666666666,4,-9.166666666666664,1
17795,Kuwait,Philippines,2,354.83333333333326,10,-52.91666666666667,1
20761,Bhutan,Qatar,0,84.83333333333333,0,82.83333333333333,1
13459,Faroe Islands,Estonia,3,16.416666666666668,4,69.16666666666667,0
3330,Japan,Kuwait,0,49.5,7,-51.6,0
18673,Serbia,Croatia,1,691.25,4,26.75,1
13964,Lithuania,Serbia,0,584.1666666666666,4,19.91666666666667,0
22750,Uganda,Namibia,0,889.0,7,-34.16666666666667,1
4822,Netherlands,Ghana,0,60.4,3,-44.6,1
10132,Israel,Cyprus,2,556.1666666666666,6,-44.91666666666667,1
3426,Japan,Sweden,0,55.6,10,-2.5,1
21712,Burma,Oman,0,0.0,5,-107.08333333333331,1
6406,Togo,Sierra Leone,0,441.66666666666674,9,-40.58333333333334,0
19223,Honduras,Israel,2,628.9166666666666,13,-13.166666666666664,1
14019,Nepal,Malaysia,0,53.08333333333334,1,17.5,0
4524,Belgium,Netherlands,0,51.7,5,20.4,0
763,Senegal,Guinea-Bissau,3,31.0,4,-73.2,0
13429,DR Congo,Egypt,1,0.0,4,-25.16666666666667,0
16928,Bosnia and Herzegovina,Portugal,2,686.4166666666666,5,28.916666666666664,0
16555,Austria,Germany,2,483.0,1,62.50000000000001,0
4243,Liberia,Burkina Faso,1,29.0,5,32.0,1
10511,Moldova,Azerbaijan,0,429.5,5,-2.75,0
17680,Réunion,French Guiana,2,0.0,0,0.0,1
13050,Djibouti,Uganda,0,9.75,3,97.41666666666669,0
193,Cape Verde,Guinea-Bissau,1,0.0,0,-117.0,0
15157,Turkmenistan,Tajikistan,2,159.0,6,-6.0909090909090935,0
11681,Kuwait,Australia,0,454.3636363636364,4,37.18181818181818,0
2795,Finland,France,0,34.5,7,61.40000000000001,0
13933,Equatorial Guinea,South Africa,0,382.25,4,15.416666666666671,1
14275,Ghana,Egypt,2,759.5,6,2.416666666666668,0
8596,Singapore,Macau,2,430.0,8,-85.08333333333334,1
6057,Uruguay,Paraguay,0,562.5833333333334,3,22.916666666666664,0
23182,Pakistan,Nepal,2,447.16666666666674,0,38.083333333333314,0
16196,Panama,Grenada,2,529.8333333333334,7,-49.41666666666666,1
20852,Cuba,Panama,0,253.0,10,76.16666666666669,0
12589,Menorca,Saare County,4,0.0,0,0.0,1
9931,South Africa,Burkina Faso,2,611.6666666666666,7,-38.083333333333336,1
18091,Honduras,Costa Rica,0,622.1666666666666,6,3.833333333333336,0
5517,Faroe Islands,Czech Republic,0,331.8333333333333,4,105.75,0
6678,Lithuania,Catalonia,0,504.33333333333326,7,62.91666666666666,0
22068,Luxembourg,Netherlands,0,267.6666666666667,3,96.33333333333334,0
15686,Jamaica,Trinidad and Tobago,1,413.27272727272725,3,-10.727272727272736,1
5499,Cayman Islands,Bermuda,0,150.41666666666666,2,-12.916666666666654,0
13702,North Korea,Burma,1,0.0,4,0.0,1
5026,Switzerland,Austria,2,511.25,3,32.83333333333333,1
16765,Bolivia,Colombia,1,340.0833333333333,1,54.99999999999999,1
3003,Belarus,United Arab Emirates,0,26.5,3,19.3,1
12103,Thailand,Vietnam,3,306.3636363636364,2,-24.45454545454544,1
