Year,team,away_goals_conceded,away_score,away_games,home_score,home_goals_conceded,home_games,hs_mean,as_mean,as_conceded_mean,hs_conceded_mean,H_AttackS,A_AttackS,H_DefenseS,A_DefenseS
1905,Uruguay,0,0,1,0.0,0.0,0.0,2.25,0.75,2.25,0.75,,0.0,,0.0
1905,Wales,5,3,2,3.0,1.0,1.0,2.25,0.75,2.25,0.75,1.3333333333333333,2.0,1.3333333333333333,1.1111111111111112
1906,Argentina,0,2,1,2.0,1.0,1.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,1.2173913043478262,0.9032258064516129,0.45161290322580644,0.0
1906,Austria,3,1,1,0.0,0.0,0.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,,0.45161290322580644,,1.8260869565217392
1906,Belgium,2,8,2,5.0,0.0,1.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,3.0434782608695654,1.8064516129032258,0.0,0.6086956521739131
1906,Czechoslovakia,1,1,1,4.0,4.0,1.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,2.4347826086956523,0.45161290322580644,1.8064516129032258,0.6086956521739131
1906,England,2,7,3,0.0,0.0,0.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,,1.053763440860215,,0.40579710144927533
1906,Hungary,4,4,1,4.0,2.0,2.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,1.2173913043478262,1.8064516129032258,0.45161290322580644,2.4347826086956523
1906,Netherlands,5,0,1,2.0,3.0,1.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,1.2173913043478262,0.0,1.3548387096774193,3.0434782608695654
1906,Northern Ireland,4,4,1,0.0,6.0,2.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,0.0,1.8064516129032258,1.3548387096774193,2.4347826086956523
1906,Scotland,0,1,1,2.0,3.0,2.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,0.6086956521739131,0.45161290322580644,0.6774193548387096,0.0
1906,Uruguay,2,1,1,0.0,2.0,1.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,0.0,0.45161290322580644,0.9032258064516129,1.2173913043478262
1906,Wales,0,2,1,4.0,5.0,2.0,1.6428571428571428,2.2142857142857144,1.6428571428571428,2.2142857142857144,1.2173913043478262,0.9032258064516129,1.129032258064516,0.0
1907,Austria,4,1,1,3.0,1.0,1.0,2.230769230769231,1.4615384615384615,2.230769230769231,1.4615384615384615,1.3448275862068966,0.6842105263157895,0.6842105263157895,1.793103448275862
1907,Belgium,1,2,1,2.0,5.0,2.0,2.230769230769231,1.4615384615384615,2.230769230769231,1.4615384615384615,0.4482758620689655,1.368421052631579,1.710526315789474,0.4482758620689655
1907,Czechoslovakia,5,2,1,5.0,3.0,1.0,2.230769230769231,1.4615384615384615,2.230769230769231,1.4615384615384615,2.2413793103448274,1.368421052631579,2.0526315789473686,2.2413793103448274
1907,France,1,2,1,0.0,0.0,0.0,2.230769230769231,1.4615384615384615,2.230769230769231,1.4615384615384615,,1.368421052631579,,0.4482758620689655
1907,Hungary,8,4,2,9.0,3.0,2.0,2.230769230769231,1.4615384615384615,2.230769230769231,1.4615384615384615,2.0172413793103448,1.368421052631579,1.0263157894736843,1.793103448275862
1907,Netherlands,1,3,1,1.0,2.0,1.0,2.230769230769231,1.4615384615384615,2.230769230769231,1.4615384615384615,0.4482758620689655,2.0526315789473686,1.368421052631579,0.4482758620689655
1907,Northern Ireland,4,0,2,2.0,3.0,1.0,2.230769230769231,1.4615384615384615,2.230769230769231,1.4615384615384615,0.896551724137931,0.0,2.0526315789473686,0.896551724137931
1907,Scotland,2,1,2,3.0,0.0,1.0,2.230769230769231,1.4615384615384615,2.230769230769231,1.4615384615384615,1.3448275862068966,0.34210526315789475,0.0,0.4482758620689655
1907,Wales,3,4,2,1.0,0.0,1.0,2.230769230769231,1.4615384615384615,2.230769230769231,1.4615384615384615,0.4482758620689655,1.368421052631579,0.0,0.6724137931034483
1908,Argentina,2,2,1,2.0,2.0,2.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,0.4262295081967213,0.6753246753246753,0.33766233766233766,0.8524590163934426
1908,Austria,5,3,1,9.0,19.0,4.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,0.9590163934426229,1.0129870129870129,1.603896103896104,2.1311475409836063
1908,Belgium,4,3,2,3.0,5.0,2.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,0.6393442622950819,0.5064935064935064,0.8441558441558441,0.8524590163934426
1908,Czechoslovakia,5,2,1,0.0,4.0,1.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,0.0,0.6753246753246753,1.3506493506493507,2.1311475409836063
1908,England,5,39,7,0.0,0.0,0.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,,1.8812615955473098,,0.3044496487119438
1908,France,5,3,2,1.0,2.0,1.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,0.4262295081967213,0.5064935064935064,0.6753246753246753,1.0655737704918031
1908,Germany,8,5,2,0.0,0.0,0.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,,0.8441558441558441,,1.7049180327868851
1908,Hungary,4,0,1,10.0,12.0,3.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,1.4207650273224044,0.0,1.3506493506493507,1.7049180327868851
1908,Netherlands,1,4,1,12.0,5.0,3.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,1.7049180327868851,1.3506493506493507,0.5627705627705628,0.4262295081967213
1908,Northern Ireland,0,1,1,1.0,8.0,2.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,0.21311475409836064,0.33766233766233766,1.3506493506493507,0.0
1908,Norway,11,3,1,0.0,0.0,0.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,,1.0129870129870129,,4.688524590163934
1908,Scotland,0,5,1,3.0,2.0,2.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,0.6393442622950819,1.6883116883116882,0.33766233766233766,0.0
1908,Sweden,7,4,2,11.0,3.0,1.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,4.688524590163934,0.6753246753246753,1.0129870129870129,1.4918032786885245
1908,Uruguay,2,2,2,2.0,2.0,1.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,0.8524590163934426,0.33766233766233766,0.6753246753246753,0.4262295081967213
1908,Wales,2,1,1,1.0,8.0,2.0,2.3461538461538463,2.9615384615384617,2.3461538461538463,2.9615384615384617,0.21311475409836064,0.33766233766233766,1.3506493506493507,0.8524590163934426
1909,Argentina,2,2,1,5.0,2.0,2.0,2.5,2.3,2.5,2.3,1.0,0.8695652173913044,0.4347826086956522,0.8
1909,Austria,3,3,2,4.0,12.0,2.0,2.5,2.3,2.5,2.3,0.8,0.6521739130434783,2.608695652173913,0.6
1909,Belgium,4,1,1,6.0,6.0,2.0,2.5,2.3,2.5,2.3,1.2,0.4347826086956522,1.3043478260869565,1.6
1909,England,5,20,3,8.0,0.0,3.0,2.5,2.3,2.5,2.3,1.0666666666666667,2.8985507246376816,0.0,0.6666666666666667
1909,France,5,2,1,0.0,0.0,0.0,2.5,2.3,2.5,2.3,,0.8695652173913044,,2.0
1909,Germany,3,3,1,1.0,0.0,1.0,2.5,2.3,2.5,2.3,0.4,1.3043478260869565,0.0,1.2
1909,Hungary,3,4,1,10.0,18.0,5.0,2.5,2.3,2.5,2.3,0.8,1.7391304347826089,1.565217391304348,1.2
1909,Netherlands,1,4,1,4.0,1.0,1.0,2.5,2.3,2.5,2.3,1.6,1.7391304347826089,0.4347826086956522,0.4
1909,Northern Ireland,9,0,2,2.0,3.0,1.0,2.5,2.3,2.5,2.3,0.8,0.0,1.3043478260869565,1.8
1909,Scotland,5,2,2,5.0,0.0,1.0,2.5,2.3,2.5,2.3,2.0,0.4347826086956522,0.0,1.0
1909,Switzerland,1,0,1,0.0,0.0,0.0,2.5,2.3,2.5,2.3,,0.0,,0.4
1909,Uruguay,5,2,2,2.0,2.0,1.0,2.5,2.3,2.5,2.3,0.8,0.4347826086956522,0.8695652173913044,1.0
1909,Wales,4,3,2,3.0,2.0,1.0,2.5,2.3,2.5,2.3,1.2,0.6521739130434783,0.8695652173913044,0.8
1910,Argentina,3,4,2,15.0,10.0,5.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,1.2786885245901638,1.1818181818181819,1.1818181818181819,0.6393442622950819
1910,Austria,3,0,1,2.0,1.0,1.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,0.8524590163934426,0.0,0.5909090909090909,1.2786885245901638
1910,Belgium,7,7,3,3.0,2.0,1.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,1.2786885245901638,1.378787878787879,1.1818181818181819,0.994535519125683
1910,Chile,8,2,2,0.0,6.0,2.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,0.0,0.5909090909090909,1.7727272727272727,1.7049180327868851
1910,England,3,2,3,0.0,0.0,0.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,,0.3939393939393939,,0.4262295081967213
1910,France,6,2,1,0.0,4.0,1.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,0.0,1.1818181818181819,2.3636363636363638,2.5573770491803276
1910,Germany,6,5,2,1.0,5.0,2.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,0.21311475409836064,1.4772727272727273,1.4772727272727273,1.2786885245901638
1910,Hungary,2,1,1,9.0,1.0,2.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,1.9180327868852458,0.5909090909090909,0.29545454545454547,0.8524590163934426
1910,Italy,6,1,1,6.0,2.0,1.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,2.5573770491803276,0.5909090909090909,1.1818181818181819,2.5573770491803276
1910,Netherlands,4,4,2,11.0,2.0,2.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,2.344262295081967,1.1818181818181819,0.5909090909090909,0.8524590163934426
1910,Northern Ireland,4,1,1,2.0,1.0,2.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,0.4262295081967213,0.5909090909090909,0.29545454545454547,1.7049180327868851
1910,Scotland,1,0,1,3.0,0.0,2.0,2.3461538461538463,1.6923076923076923,2.3461538461538463,1.6923076923076923,0.6393442622950819,0.0,0.0,0.4262295081967213
